dateTime,PM25_1HR,PM25_24HR
2017-05-25:11,16,15
2017-05-25:10,21,15
2017-05-25:09,12,14
2017-05-25:08,16,15
2017-05-25:07,17,15
2017-05-25:06,18,14
2017-05-25:05,15,13
2017-05-25:04,16,12
2017-05-25:03,11,12
2017-05-25:02,12,11
2017-05-25:01,8,11
2017-05-24:24,11,12
2017-05-24:23,8,13
2017-05-24:22,10,14
2017-05-24:21,13,15
2017-05-24:20,16,15
2017-05-24:19,19,15
2017-05-24:18,14,14
2017-05-24:17,16,14
2017-05-24:16,12,14
2017-05-24:15,17,14
2017-05-24:14,9,
2017-05-24:13,14,
2017-05-24:12,,
2017-05-24:11,,15
2017-05-24:10,16,15
2017-05-24:09,14,15
2017-05-24:08,14,16
2017-05-24:07,14,17
2017-05-24:06,18,18
2017-05-24:05,14,18
2017-05-24:04,19,19
2017-05-24:03,18,17
2017-05-24:02,20,17
2017-05-24:01,,17
2017-05-23:24,8,17
2017-05-23:23,16,22
2017-05-23:22,18,22
2017-05-23:21,17,21
2017-05-23:20,37,23
2017-05-23:19,18,20
2017-05-23:18,20,20
2017-05-23:17,27,21
2017-05-23:16,10,21
2017-05-23:15,18,23
2017-05-23:14,26,23
2017-05-23:13,26,23
2017-05-23:12,27,22
2017-05-23:11,17,21
2017-05-23:10,22,21
2017-05-23:09,22,21
2017-05-23:08,22,20
2017-05-23:07,23,21
2017-05-23:06,22,20
2017-05-23:05,20,21
2017-05-23:04,22,21
2017-05-23:03,21,20
2017-05-23:02,22,20
2017-05-23:01,22,20
2017-05-22:24,13,19
2017-05-22:23,15,21
2017-05-22:22,16,23
2017-05-22:21,12,24
2017-05-22:20,23,27
2017-05-22:19,25,27
2017-05-22:18,26,26
2017-05-22:17,29,26
2017-05-22:16,32,25
2017-05-22:15,31,26
2017-05-22:14,29,25
2017-05-22:13,32,24
2017-05-22:12,27,24
2017-05-22:11,30,24
2017-05-22:10,23,22
2017-05-22:09,25,21
2017-05-22:08,21,21
2017-05-22:07,13,21
2017-05-22:06,20,22
2017-05-22:05,20,23
2017-05-22:04,32,24
2017-05-22:03,25,24
2017-05-22:02,28,23
2017-05-22:01,28,21
2017-05-21:24,27,20
2017-05-21:23,21,18
2017-05-21:22,16,17
2017-05-21:21,20,17
2017-05-21:20,20,16
2017-05-21:19,13,15
2017-05-21:18,13,16
2017-05-21:17,14,16
2017-05-21:16,21,17
2017-05-21:15,13,17
2017-05-21:14,20,17
2017-05-21:13,18,16
2017-05-21:12,22,15
2017-05-21:11,16,13
2017-05-21:10,16,13
2017-05-21:09,14,12
2017-05-21:08,7,12
2017-05-21:07,15,13
2017-05-21:06,14,13
2017-05-21:05,10,13
2017-05-21:04,16,13
2017-05-21:03,17,12
2017-05-21:02,12,11
2017-05-21:01,7,11
2017-05-20:24,12,13
2017-05-20:23,9,14
2017-05-20:22,9,15
2017-05-20:21,15,16
2017-05-20:20,16,16
2017-05-20:19,10,16
2017-05-20:18,14,17
2017-05-20:17,13,18
2017-05-20:16,13,19
2017-05-20:15,20,21
2017-05-20:14,21,21
2017-05-20:13,30,22
2017-05-20:12,25,22
2017-05-20:11,17,20
2017-05-20:10,29,20
2017-05-20:09,28,18
2017-05-20:08,13,15
2017-05-20:07,12,17
2017-05-20:06,19,18
2017-05-20:05,11,18
2017-05-20:04,20,20
2017-05-20:03,20,20
2017-05-20:02,20,20
2017-05-20:01,,19
2017-05-19:24,21,19
2017-05-19:23,20,19
2017-05-19:22,18,18
2017-05-19:21,15,19
2017-05-19:20,18,21
2017-05-19:19,17,21
2017-05-19:18,19,22
2017-05-19:17,24,22
2017-05-19:16,21,21
2017-05-19:15,20,22
2017-05-19:14,17,23
2017-05-19:13,22,25
2017-05-19:12,25,25
2017-05-19:11,22,25
2017-05-19:10,24,25
2017-05-19:09,32,25
2017-05-19:08,21,25
2017-05-19:07,20,26
2017-05-19:06,24,27
2017-05-19:05,24,28
2017-05-19:04,32,28
2017-05-19:03,33,28
2017-05-19:02,37,28
2017-05-19:01,29,28
2017-05-18:24,31,28
2017-05-18:23,32,28
2017-05-18:22,26,28
2017-05-18:21,27,28
2017-05-18:20,29,28
2017-05-18:19,30,26
2017-05-18:18,29,25
2017-05-18:17,32,24
2017-05-18:16,31,24
2017-05-18:15,32,25
2017-05-18:14,36,24
2017-05-18:13,27,22
2017-05-18:12,29,21
2017-05-18:11,30,18
2017-05-18:10,21,14
2017-05-18:09,24,13
2017-05-18:08,10,10
2017-05-18:07,8,11
2017-05-18:06,10,12
2017-05-18:05,11,12
2017-05-18:04,14,12
2017-05-18:03,12,12
2017-05-18:02,12,12
2017-05-18:01,6,13
2017-05-17:24,12,14
2017-05-17:23,9,15
2017-05-17:22,16,16
2017-05-17:21,11,16
2017-05-17:20,17,18
2017-05-17:19,18,19
2017-05-17:18,13,18
2017-05-17:17,23,19
2017-05-17:16,24,18
2017-05-17:15,16,17
2017-05-17:14,16,
2017-05-17:13,19,
2017-05-17:12,,
2017-05-17:11,,17
2017-05-17:10,18,15
2017-05-17:09,27,14
2017-05-17:08,10,12
2017-05-17:07,7,14
2017-05-17:06,15,15
2017-05-17:05,16,15
2017-05-17:04,19,15
2017-05-17:03,13,14
2017-05-17:02,16,13
2017-05-17:01,15,12
2017-05-16:24,12,12
2017-05-16:23,8,13
2017-05-16:22,8,14
2017-05-16:21,16,16
2017-05-16:20,17,16
2017-05-16:19,9,15
2017-05-16:18,18,17
2017-05-16:17,18,15
2017-05-16:16,12,15
2017-05-16:15,19,16
2017-05-16:14,9,17
2017-05-16:13,18,18
2017-05-16:12,21,18
2017-05-16:11,23,16
2017-05-16:10,19,15
2017-05-16:09,15,14
2017-05-16:08,10,14
2017-05-16:07,18,14
2017-05-16:06,13,13
2017-05-16:05,11,13
2017-05-16:04,14,15
2017-05-16:03,14,15
2017-05-16:02,15,15
2017-05-16:01,25,14
